n,p,ncpus,nthreads,seed,num_clusters,max_cluster,rperc,cperc,init_time,perc_time,tjoin_time,recv_time,pjoin_time,total_time
4000,0.250000,4,1,745131,2062404,35,0,0,0.787634,17.458820,0.000005,1.722726,0.152966,20.183389
4000,0.250000,3,1,745131,2062404,35,0,0,0.807810,25.056566,0.000001,0.360689,0.117200,26.392843
4000,0.250000,4,2,745131,2062404,35,0,0,0.739660,9.209613,0.041672,1.060400,0.153683,11.290035
4000,0.250000,4,4,745131,2062404,35,0,0,0.719971,5.264522,0.157350,0.502048,0.153313,6.933583
4000,0.250000,2,1,745131,2062404,35,0,0,0.756070,38.263838,0.000001,0.122378,0.081840,39.260163
4000,0.250000,3,2,745131,2062404,35,0,0,0.735838,13.303155,0.049225,0.241666,0.120519,14.521433
4000,0.250000,3,4,745131,2062404,35,0,0,0.743351,6.867664,0.146032,0.299181,0.120149,8.285349
4000,0.500000,4,1,745131,1052577,753,0,0,0.828669,9.010440,0.000001,2.017621,0.615751,12.523557
4000,0.500000,4,2,745131,1052577,753,0,0,0.806465,4.556945,0.164951,1.188350,0.615071,7.392873
4000,0.250000,2,2,745131,2062404,35,0,0,0.714898,19.872343,0.048002,0.076138,0.079149,20.843457
4000,0.500000,4,4,745131,1052577,753,0,0,0.783003,2.766694,0.502611,0.685648,0.618914,5.449340
4000,0.500000,3,1,745131,1052577,753,0,0,0.838984,13.683290,0.000002,0.308990,0.559545,15.433602
4000,0.750000,4,1,745131,54989,11926577,1,1,0.732744,0.888436,0.000001,0.169065,0.088963,1.880595
4000,0.750000,4,2,745131,54989,11926577,1,1,0.736952,0.461026,0.021436,0.094976,0.089914,1.406100
4000,0.750000,4,4,745131,54989,11926577,1,1,0.722522,0.357863,0.065809,0.029720,0.089240,1.269573
4000,0.250000,2,4,745131,2062404,35,0,0,0.722575,10.295953,0.142112,0.115250,0.080970,11.450061
4000,0.500000,3,2,745131,1052577,753,0,0,0.856594,7.111193,0.177008,0.263292,0.512653,8.981697
4000,0.250000,1,1,745131,2062404,35,0,0,0.675968,78.097330,0.000002,0.000000,0.000000,78.791103
4000,0.500000,3,4,745131,1052577,753,0,0,0.806196,3.627887,0.543165,0.340047,0.524374,5.940807
4000,0.750000,3,1,745131,54989,11926577,1,1,0.761971,1.326287,0.000001,0.017561,0.072046,2.179190
4000,0.750000,3,2,745131,54989,11926577,1,1,0.750737,0.681276,0.024319,0.016460,0.072352,1.547081
4000,0.750000,3,4,745131,54989,11926577,1,1,0.760426,0.360688,0.080931,0.019773,0.072647,1.297444
4000,0.250000,4,1,737278,2063587,37,0,0,0.705712,17.321338,0.000001,2.072613,0.152885,20.314024
4000,0.500000,2,1,745131,1052577,753,0,0,0.835500,20.289158,0.000002,0.088669,0.353372,21.599568
